                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3159,                 2.5473,                 1.6916,                 1.2479,                 6.5814,                 1.6489,                 0.0001,                0.02985,                  5e-05,                  1e-05,                 5.1248,                  59227,                 581.09,                 4.6502,             1.6765e+05,                 428.86,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4924,                 1.9347,                 1.7599,                 1.6267,                 2.2575,                  1.837,                0.00216,                0.33333,                0.00151,                0.00048,                  3.449,                  36872,                 257.11,                 3.1215,                  16605,                 156.78,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.5724,                 1.7644,                 1.8013,                 1.7017,                 1.9517,                 1.8603,                  0.002,                0.00995,                0.00021,                  4e-05,                 4.5785,                 323.23,                 19.478,                 3.4841,                 52.253,                  10.44,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.5494,                 1.5452,                 1.7382,                 1.6359,                 1.8792,                 1.7937,                 0.1427,                0.12935,                0.06746,                0.02958,                 2.4816,                 26.429,                 3.5436,                 2.5407,                 7.2338,                 3.3264,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3919,                 1.4591,                 1.6489,                 1.5253,                 1.6271,                 1.7241,                0.24061,                0.12453,                 0.0976,                0.04744,                 1.9777,                 3.3313,                 2.4443,                 1.8476,                 4.0032,                 2.2876,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3476,                 1.3488,                 1.6053,                 1.5055,                 1.5175,                 1.6909,                0.71345,                0.68657,                  0.696,                0.42965,                 1.3067,                 2.1152,                 1.7385,                 1.4206,                 1.7787,                 1.7973,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.289,                 1.1917,                 1.5684,                 1.4264,                 1.4178,                 1.6329,                0.67133,                0.59956,                0.67703,                0.44068,                 1.2653,                 1.6554,                 1.7402,                 1.3486,                 1.9744,                 1.8016,               0.001802,               0.001802,               0.001802
                      8,                 1.2521,                 1.1705,                 1.5351,                 1.4042,                 1.3543,                 1.6101,                0.74752,                0.58209,                0.68977,                0.40516,                 1.3878,                 1.5079,                 1.8061,                 1.5896,                  1.974,                 1.9515,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2005,                  1.051,                 1.5048,                 1.3106,                 1.2305,                 1.5832,                0.75994,                0.69299,                0.75577,                0.44981,                 1.2863,                 1.4025,                 1.7488,                 1.4081,                 1.3371,                 1.8372,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1799,                 1.0555,                 1.4978,                 1.3219,                 1.2288,                 1.5941,                0.83219,                0.69082,                0.80153,                0.53494,                 1.1453,                 1.0782,                 1.6016,                 1.2262,                  1.262,                 1.6456,              0.0016832,              0.0016832,              0.0016832
