                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7248,                 9.5563,                0.59742,                 2.6064,                 34.521,                0.59106,                0.56071,                0.41791,                0.40279,                0.28552,                 2.7979,                 8.7158,                0.64562,                 2.6546,                 16.064,                 0.6456,               0.039668,              0.0016678,              0.0016678
                      2,                 2.1742,                 5.0548,                0.51882,                 2.2019,                 8.1226,                0.52089,                0.85114,                0.65426,                0.78361,                0.58828,                 2.2145,                 4.3349,                0.52445,                 2.2204,                  5.643,                0.52887,              0.0026364,              0.0026364,              0.0026364
                      3,                 1.8914,                 3.3838,                0.47399,                  1.904,                  3.648,                0.47774,                0.85275,                 0.8209,                0.89543,                0.69371,                 1.9891,                 2.7259,                 0.4821,                 2.0192,                 2.5775,                0.48754,              0.0026364,              0.0026364,              0.0026364
                      4,                 1.8427,                 2.5207,                 0.4699,                 1.9138,                 2.4848,                0.47727,                0.88736,                0.90143,                 0.9057,                0.69988,                 1.9678,                 2.3754,                0.49293,                 2.0033,                 2.0633,                0.49524,              0.0025827,              0.0025827,              0.0025827
                      5,                 1.8256,                 2.0308,                0.46463,                 1.9044,                 1.9956,                0.46966,                0.89693,                0.89055,                 0.9323,                 0.7226,                 2.0522,                 1.8823,                0.50482,                 2.0729,                 1.9231,                0.51017,              0.0025291,              0.0025291,              0.0025291
                      6,                 1.7766,                 1.8672,                0.46064,                 1.8664,                 1.8133,                0.47128,                0.94425,                0.84258,                0.93259,                0.71945,                 1.9647,                 1.9175,                0.48653,                 2.1002,                 1.8485,                0.50409,              0.0024754,              0.0024754,              0.0024754
                      7,                 1.7239,                 1.7592,                0.45204,                 1.7721,                 1.6412,                0.45272,                0.95099,                0.86893,                0.93824,                0.73387,                  1.975,                 1.7209,                0.49991,                 2.0114,                 1.6175,                0.50536,              0.0024218,              0.0024218,              0.0024218
                      8,                 1.7305,                  1.586,                0.45328,                 1.7897,                  1.605,                0.45663,                0.96684,                0.87026,                0.94863,                0.73906,                 1.9909,                 1.5474,                0.50396,                 2.0421,                 1.4952,                0.50871,              0.0023681,              0.0023681,              0.0023681
                      9,                 1.6796,                 1.3888,                0.44918,                 1.7375,                 1.4247,                0.45262,                0.88713,                0.86025,                0.91965,                0.70939,                 2.0065,                 1.7627,                0.49761,                 2.0839,                 1.8896,                0.50853,              0.0023145,              0.0023145,              0.0023145
                     10,                   1.65,                 1.4087,                0.44024,                 1.7397,                 1.4391,                0.44885,                0.87819,                0.89674,                0.90898,                0.70833,                 1.9764,                  1.804,                0.50479,                 2.0234,                 1.8707,                0.51265,              0.0022608,              0.0022608,              0.0022608
