                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3068,                 8.8529,                0.61975,                0.57922,                0.41294,                0.39897,                0.27606,                 3.1386,                 6.6255,                0.60179,               0.039668,              0.0016678,              0.0016678
                      2,                 2.4363,                 4.5506,                 0.5157,                 0.7125,                0.66667,                0.70337,                0.49798,                 2.3984,                 4.1237,                0.49499,              0.0026364,              0.0026364,              0.0026364
                      3,                  2.161,                 2.9215,                0.47627,                0.77294,                0.77114,                0.82999,                0.60808,                 2.3135,                 2.5146,                0.46695,              0.0025827,              0.0025827,              0.0025827
                      4,                 2.0077,                 2.3615,                0.45027,                0.79685,                0.84577,                0.89055,                0.68441,                 2.1384,                 1.8831,                0.44845,              0.0025291,              0.0025291,              0.0025291
                      5,                 1.9552,                 2.0013,                0.44297,                0.90976,                0.80249,                0.88654,                0.67197,                 2.0688,                 2.1275,                0.44621,              0.0024754,              0.0024754,              0.0024754
                      6,                 1.7837,                 1.6867,                0.42592,                0.93219,                0.86567,                0.93524,                0.72665,                 2.1098,                 1.5121,                0.45626,              0.0024218,              0.0024218,              0.0024218
                      7,                 1.7938,                 1.5678,                 0.4356,                0.87319,                0.82219,                0.89828,                0.70119,                 2.0909,                 1.8443,                0.44307,              0.0023681,              0.0023681,              0.0023681
                      8,                  1.669,                 1.4158,                0.41039,                0.83112,                0.88146,                0.90996,                0.71041,                 2.0272,                 1.6918,                0.43161,              0.0023145,              0.0023145,              0.0023145
                      9,                 1.7117,                 1.4207,                0.41686,                0.92542,                0.89055,                0.94272,                 0.7476,                 1.9854,                 1.4327,                0.43413,              0.0022608,              0.0022608,              0.0022608
                     10,                 1.6909,                  1.376,                0.41398,                0.88174,                0.85319,                 0.9066,                0.70667,                 2.0392,                 1.8554,                0.43334,              0.0022072,              0.0022072,              0.0022072
                     11,                 1.6133,                 1.2734,                0.40197,                0.87386,                0.90547,                0.92101,                0.72302,                 1.9155,                 1.5987,                0.42436,              0.0021535,              0.0021535,              0.0021535
                     12,                 1.6161,                  1.206,                0.40878,                0.87395,                0.90547,                0.93142,                0.73515,                 1.9562,                 1.4771,                0.43095,              0.0020999,              0.0020999,              0.0020999
                     13,                 1.6679,                 1.1786,                0.40928,                0.90641,                0.91549,                0.94752,                0.75415,                 1.9362,                 1.3177,                0.42713,              0.0020463,              0.0020463,              0.0020463
                     14,                 1.4959,                 1.0996,                0.39438,                0.91365,                0.89486,                0.93773,                0.73601,                 1.9575,                 1.4565,                0.44107,              0.0019926,              0.0019926,              0.0019926
                     15,                 1.5449,                 1.0787,                0.40347,                0.85273,                0.84577,                0.91316,                0.71469,                 1.9717,                 1.7348,                 0.4351,               0.001939,               0.001939,               0.001939
                     16,                 1.5538,                 0.9933,                0.39463,                0.89641,                0.90408,                0.93251,                0.74177,                 1.9528,                 1.4393,                0.43102,              0.0018853,              0.0018853,              0.0018853
                     17,                 1.5173,                  1.021,                0.39216,                0.90516,                0.90217,                0.92528,                0.73191,                  1.968,                 1.4792,                0.42759,              0.0018317,              0.0018317,              0.0018317
                     18,                 1.4474,                 0.9634,                 0.3866,                0.89607,                0.90077,                0.92442,                0.72831,                 1.9468,                 1.5057,                0.42745,               0.001778,               0.001778,               0.001778
                     19,                 1.4042,                0.92724,                0.38006,                0.92267,                 0.8607,                0.93598,                0.75118,                 1.9228,                 1.4861,                0.42244,              0.0017244,              0.0017244,              0.0017244
                     20,                 1.4541,                 0.9657,                0.38569,                0.89186,                0.89552,                0.93796,                 0.7414,                 2.0255,                 1.4989,                0.43117,              0.0016707,              0.0016707,              0.0016707
                     21,                 1.4586,                0.92312,                0.38382,                0.89987,                0.89427,                0.94076,                0.75073,                 1.9393,                  1.454,                0.41884,              0.0016171,              0.0016171,              0.0016171
                     22,                 1.3472,                0.92652,                0.37058,                0.90987,                0.90403,                0.94323,                0.75376,                 1.9488,                   1.45,                0.41923,              0.0015635,              0.0015635,              0.0015635
                     23,                 1.3484,                0.89624,                0.37124,                0.90737,                0.87562,                0.94345,                0.75407,                 1.9511,                 1.4686,                0.42436,              0.0015098,              0.0015098,              0.0015098
                     24,                 1.4214,                0.93213,                0.38517,                0.92305,                0.89515,                0.94423,                0.75819,                 1.9472,                  1.426,                0.42601,              0.0014562,              0.0014562,              0.0014562
                     25,                 1.3092,                0.85662,                0.36724,                0.90477,                0.92537,                0.94449,                 0.7472,                 1.9496,                 1.3597,                 0.4187,              0.0014025,              0.0014025,              0.0014025
                     26,                 1.3527,                0.81895,                0.37074,                0.90382,                0.88833,                0.93611,                0.75206,                 1.9945,                  1.421,                0.42617,              0.0013489,              0.0013489,              0.0013489
                     27,                 1.3997,                0.85332,                0.38719,                0.90831,                0.89552,                0.94301,                0.75619,                 1.9827,                 1.4203,                0.42896,              0.0012952,              0.0012952,              0.0012952
                     28,                 1.3181,                0.85278,                0.37545,                 0.9046,                0.90547,                0.94639,                0.76032,                 1.9293,                 1.3887,                0.42119,              0.0012416,              0.0012416,              0.0012416
                     29,                 1.3745,                0.82657,                0.37814,                0.93823,                0.87562,                0.93601,                0.75388,                 1.9225,                 1.3732,                0.42137,              0.0011879,              0.0011879,              0.0011879
                     30,                 1.2622,                0.81564,                0.36921,                0.90059,                0.91542,                0.93992,                0.74855,                 1.9422,                  1.415,                0.42538,              0.0011343,              0.0011343,              0.0011343
                     31,                 1.3247,                0.87089,                0.37511,                0.91722,                0.90547,                0.94383,                0.75764,                 1.9165,                 1.3521,                0.41989,              0.0010806,              0.0010806,              0.0010806
                     32,                 1.2573,                0.77813,                0.36505,                 0.9209,                 0.9005,                0.93989,                0.74849,                  1.963,                 1.4271,                0.42753,               0.001027,               0.001027,               0.001027
                     33,                 1.2636,                0.76872,                 0.3728,                0.90966,                0.90171,                0.93557,                0.75096,                 1.9779,                 1.4793,                0.42857,             0.00097336,             0.00097336,             0.00097336
                     34,                 1.1988,                0.75773,                0.36676,                 0.9318,                0.89055,                0.93932,                0.75036,                 1.9863,                 1.5298,                0.42887,             0.00091971,             0.00091971,             0.00091971
                     35,                 1.1934,                0.81865,                0.35559,                0.90166,                0.91235,                0.94021,                0.76026,                 1.9729,                 1.4758,                0.42798,             0.00086607,             0.00086607,             0.00086607
                     36,                 1.2369,                0.79719,                0.36485,                 0.9329,                0.89916,                0.93258,                0.74956,                 1.9702,                 1.4624,                0.42701,             0.00081242,             0.00081242,             0.00081242
                     37,                 1.2393,                0.76345,                0.36486,                0.92729,                0.88827,                0.93781,                0.75323,                 1.9786,                 1.4455,                0.42423,             0.00075878,             0.00075878,             0.00075878
                     38,                 1.1628,                0.69528,                 0.3568,                 0.9149,                0.90925,                0.94005,                0.75313,                  1.969,                 1.4829,                0.42423,             0.00070513,             0.00070513,             0.00070513
                     39,                 1.1952,                0.71676,                0.36138,                0.93274,                 0.9005,                0.93257,                0.75781,                 1.9537,                 1.4508,                0.42353,             0.00065149,             0.00065149,             0.00065149
                     40,                 1.2716,                0.76999,                0.37272,                0.92262,                0.88983,                0.93383,                0.75344,                  1.969,                 1.4238,                0.42261,             0.00059784,             0.00059784,             0.00059784
                     41,                 1.0306,                0.56073,                0.33798,                0.92887,                0.89055,                0.94009,                0.76377,                 1.9901,                 1.4224,                0.42789,              0.0005442,              0.0005442,              0.0005442
                     42,                0.97599,                0.53562,                0.33488,                0.92018,                 0.9005,                0.94164,                0.76045,                 1.9947,                 1.4429,                0.42915,             0.00049055,             0.00049055,             0.00049055
                     43,                0.98686,                0.53834,                0.33506,                0.91864,                 0.9005,                0.94272,                0.76147,                  2.001,                 1.4602,                0.43146,             0.00043691,             0.00043691,             0.00043691
                     44,                0.99384,                0.51885,                0.33771,                0.92728,                0.88822,                0.93375,                0.75324,                  1.996,                 1.4757,                0.43125,             0.00038326,             0.00038326,             0.00038326
                     45,                0.96366,                0.51085,                0.33427,                0.90142,                0.90987,                0.93163,                 0.7467,                  2.009,                 1.5046,                0.43588,             0.00032962,             0.00032962,             0.00032962
                     46,                0.96956,                0.53436,                0.33355,                0.89693,                0.90914,                0.93537,                0.74819,                 2.0103,                 1.4898,                0.43602,             0.00027597,             0.00027597,             0.00027597
                     47,                0.93604,                0.50807,                0.33503,                0.89159,                0.91045,                0.93603,                0.75487,                 2.0042,                  1.506,                0.43336,             0.00022233,             0.00022233,             0.00022233
                     48,                 0.9301,                0.51535,                0.33133,                0.89693,                0.90918,                 0.9348,                0.75156,                 2.0035,                  1.525,                0.43096,             0.00016868,             0.00016868,             0.00016868
                     49,                0.94346,                0.50921,                 0.3304,                0.89698,                0.90967,                0.93287,                0.74863,                 2.0048,                 1.5286,                0.43162,             0.00011504,             0.00011504,             0.00011504
                     50,                0.94965,                0.51839,                 0.3293,                0.89686,                 0.9085,                0.93315,                0.74838,                 2.0062,                 1.5181,                0.43105,             6.1392e-05,             6.1392e-05,             6.1392e-05
