                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1414,                 2.0058,                 1.4022,                0.59199,                0.56306,                 0.5656,                0.36592,                 1.3221,                 1.8237,                 1.7582,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.3072,                 1.5468,                 1.5779,                  2e-05,                0.00498,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.3547,                 1.4474,                 1.5902,                  2e-05,                0.00498,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.3972,                 1.3911,                 1.6584,                0.10629,                 0.0199,                0.00719,                0.00351,                 3.4216,                 5.4001,                 3.2294,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2944,                 1.3205,                 1.5742,                0.69844,                0.33333,                 0.4116,                 0.2272,                 1.9025,                 2.5976,                 2.1879,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2914,                 1.2706,                 1.5736,                0.73839,                0.25871,                0.29926,                0.19051,                 1.9841,                 2.5873,                 2.2519,               0.001802,               0.001802,               0.001802
                      7,                 1.2343,                 1.1071,                 1.5144,                  0.736,                0.58706,                 0.7326,                0.45944,                 1.2951,                 1.2913,                  1.721,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.208,                 1.0561,                 1.4986,                0.68941,                0.70678,                0.73971,                0.44807,                 1.4206,                 1.4692,                 1.8119,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.196,                 1.0716,                 1.4969,                0.80803,                0.77481,                0.83609,                0.55767,                 1.1943,                 1.2201,                  1.623,              0.0016832,              0.0016832,              0.0016832
                     10,                  1.167,                 1.0401,                 1.4833,                0.76628,                0.76663,                 0.8062,                0.55092,                 1.1609,                 1.1808,                  1.599,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1205,                 1.0404,                  1.453,                0.89468,                0.80304,                0.88688,                0.62026,                 1.0773,                0.96545,                 1.5515,               0.001604,               0.001604,               0.001604
                     12,                 1.1092,                0.93055,                 1.4418,                0.78909,                0.77114,                0.83771,                0.57016,                  1.135,                0.92329,                 1.5763,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1417,                0.98289,                 1.4398,                0.90414,                0.84577,                0.90273,                0.63648,                  1.079,                0.88889,                 1.5634,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1368,                0.98252,                 1.4333,                0.81846,                0.76264,                 0.8322,                0.58832,                  1.076,                 1.0305,                 1.5316,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0778,                0.89577,                 1.4172,                0.84879,                0.81095,                0.87335,                0.62075,                 1.0676,                 0.8736,                 1.5068,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0888,                0.89269,                 1.4202,                 0.8443,                0.75541,                 0.8592,                 0.5986,                 1.0867,                 0.8886,                 1.5249,               0.001406,               0.001406,               0.001406
                     17,                 1.0232,                0.84063,                 1.3498,                0.82217,                 0.8209,                0.88146,                0.62359,                 1.0112,                0.79901,                  1.469,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0361,                0.84633,                 1.3687,                0.84837,                0.88557,                0.91373,                0.67919,                0.95426,                0.70442,                 1.4138,              0.0013268,              0.0013268,              0.0013268
                     19,                0.99668,                0.84693,                 1.3419,                0.83468,                  0.801,                0.86494,                0.59597,                 1.1271,                0.83647,                  1.551,              0.0012872,              0.0012872,              0.0012872
                     20,                0.99393,                0.84841,                 1.3478,                0.84637,                0.87065,                0.91423,                0.66569,                0.99427,                0.71035,                 1.4482,              0.0012476,              0.0012476,              0.0012476
                     21,                0.96952,                0.79543,                 1.3071,                0.86658,                0.84014,                 0.8939,                0.64606,                 1.0016,                0.78682,                 1.4246,               0.001208,               0.001208,               0.001208
                     22,                0.99183,                0.83445,                 1.3288,                0.86019,                0.85075,                0.91377,                 0.6696,                0.98972,                0.78427,                 1.4398,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0078,                0.86033,                 1.3455,                0.81982,                 0.8607,                0.86831,                0.62569,                 1.0163,                0.82914,                 1.4743,              0.0011288,              0.0011288,              0.0011288
                     24,                0.97682,                0.77499,                 1.3319,                0.84109,                0.86567,                0.91278,                0.65477,                0.99258,                0.75972,                 1.4283,              0.0010892,              0.0010892,              0.0010892
                     25,                0.99343,                0.75448,                 1.3435,                0.90572,                0.87562,                0.91959,                 0.6715,                0.94048,                0.67772,                  1.415,              0.0010496,              0.0010496,              0.0010496
                     26,                0.93773,                0.72677,                 1.3043,                0.90036,                0.89914,                0.93714,                 0.6946,                0.96178,                0.64096,                 1.4298,                0.00101,                0.00101,                0.00101
                     27,                0.96647,                0.75895,                 1.3183,                0.89361,                 0.8607,                0.91991,                0.67631,                 0.9761,                0.72836,                  1.419,              0.0009704,              0.0009704,              0.0009704
                     28,                0.94482,                0.73672,                 1.2922,                0.95179,                0.86567,                0.94249,                0.69401,                0.94618,                0.61265,                    1.4,              0.0009308,              0.0009308,              0.0009308
                     29,                0.89963,                0.65522,                 1.2712,                0.92095,                0.86939,                0.93929,                0.71237,                0.91052,                0.61134,                 1.3677,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.9221,                0.71656,                 1.2898,                0.87675,                 0.8806,                0.93028,                0.69723,                0.93345,                0.65263,                 1.3712,              0.0008516,              0.0008516,              0.0008516
                     31,                0.86392,                 0.6699,                 1.2573,                0.85608,                0.88781,                0.92122,                0.70043,                0.90648,                0.64236,                 1.3598,               0.000812,               0.000812,               0.000812
                     32,                0.91099,                0.65476,                 1.2826,                0.91747,                0.82961,                0.93194,                0.69035,                0.93306,                0.64013,                 1.3943,              0.0007724,              0.0007724,              0.0007724
                     33,                0.89672,                0.69814,                 1.2703,                0.91717,                0.86567,                0.92718,                0.70867,                0.91672,                0.66908,                  1.366,              0.0007328,              0.0007328,              0.0007328
                     34,                0.88036,                0.62668,                 1.2779,                0.90744,                0.87793,                0.92431,                0.70511,                0.87963,                0.60599,                 1.3416,              0.0006932,              0.0006932,              0.0006932
                     35,                0.87171,                0.65859,                 1.2736,                0.91194,                 0.9005,                0.93424,                0.70191,                0.92101,                0.61726,                 1.3635,              0.0006536,              0.0006536,              0.0006536
                     36,                0.86618,                 0.6729,                 1.2269,                0.91644,                0.91045,                0.93983,                0.71489,                0.89832,                0.57645,                 1.3506,               0.000614,               0.000614,               0.000614
                     37,                0.88865,                0.65994,                 1.2807,                0.93106,                 0.9005,                0.93568,                0.70885,                0.91719,                0.57189,                 1.3809,              0.0005744,              0.0005744,              0.0005744
                     38,                0.85334,                0.64254,                 1.2527,                0.89789,                0.88557,                0.93036,                0.69758,                0.90322,                0.63842,                 1.3617,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.8162,                0.59817,                 1.2007,                0.91364,                 0.8948,                0.94364,                0.71862,                0.89993,                0.59002,                 1.3501,              0.0004952,              0.0004952,              0.0004952
                     40,                0.87169,                0.61359,                 1.2718,                0.88855,                0.91542,                0.93322,                0.70512,                0.92324,                0.57941,                 1.3738,              0.0004556,              0.0004556,              0.0004556
                     41,                0.77518,                0.51668,                 1.2509,                 0.9268,                0.91542,                0.94403,                0.72456,                0.89733,                0.57738,                 1.3471,               0.000416,               0.000416,               0.000416
                     42,                0.71579,                0.49348,                 1.1979,                0.91823,                 0.9204,                0.94424,                0.72453,                0.86386,                0.54026,                 1.3162,              0.0003764,              0.0003764,              0.0003764
                     43,                   0.73,                0.48855,                 1.2189,                 0.9448,                0.89055,                 0.9459,                0.72638,                0.90282,                0.58092,                 1.3432,              0.0003368,              0.0003368,              0.0003368
                     44,                0.71557,                0.47005,                 1.2001,                0.93498,                0.88557,                0.94639,                0.73285,                0.88217,                0.55929,                 1.3293,              0.0002972,              0.0002972,              0.0002972
                     45,                0.71815,                 0.4715,                 1.2098,                0.91141,                0.90547,                0.94257,                0.71976,                0.89983,                0.56016,                 1.3437,              0.0002576,              0.0002576,              0.0002576
                     46,                0.67756,                 0.4447,                 1.1645,                0.91064,                0.92537,                0.94446,                0.74079,                0.84646,                  0.531,                 1.3113,               0.000218,               0.000218,               0.000218
                     47,                 0.6931,                0.44313,                 1.1865,                0.89488,                0.93178,                0.94251,                0.74113,                0.87128,                0.54558,                  1.327,              0.0001784,              0.0001784,              0.0001784
                     48,                0.65923,                0.42685,                 1.1562,                0.91458,                 0.9204,                0.93589,                0.73699,                0.86344,                0.55428,                 1.3198,              0.0001388,              0.0001388,              0.0001388
                     49,                0.68232,                0.44633,                 1.1849,                0.91202,                0.92832,                0.94024,                0.73789,                 0.8685,                0.55527,                 1.3287,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.67529,                0.42773,                 1.1811,                0.92512,                0.92537,                0.94096,                0.74048,                0.86094,                0.54279,                 1.3256,               5.96e-05,               5.96e-05,               5.96e-05
