                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0562,                  10.86,                0.62698,                0.62958,                0.44776,                0.49157,                0.31953,                 2.8424,                 6.8185,                0.63095,               0.039668,              0.0016678,              0.0016678
                      2,                 2.3692,                  5.473,                0.53198,                0.72314,                0.62687,                0.66782,                0.49053,                  2.521,                 3.7275,                0.57454,              0.0026364,              0.0026364,              0.0026364
                      3,                 2.0512,                 3.4619,                0.49445,                 0.8619,                 0.8209,                0.88715,                0.68351,                 2.1042,                  2.215,                0.49417,              0.0025827,              0.0025827,              0.0025827
                      4,                 1.9648,                   2.69,                  0.479,                 0.8519,                0.84577,                0.90155,                0.68465,                  2.169,                  2.215,                0.49744,              0.0025291,              0.0025291,              0.0025291
                      5,                 1.8418,                 2.1771,                0.45506,                0.87081,                0.81592,                 0.8728,                0.67781,                 1.9983,                 1.9305,                0.46273,              0.0024754,              0.0024754,              0.0024754
                      6,                 1.7754,                  1.791,                0.44622,                0.85953,                 0.8806,                0.91148,                0.70746,                   2.05,                 1.8004,                0.46984,              0.0024218,              0.0024218,              0.0024218
                      7,                 1.7548,                 1.5756,                0.44837,                0.90335,                0.87562,                0.92556,                0.73002,                 1.9282,                 1.5283,                0.45904,              0.0023681,              0.0023681,              0.0023681
                      8,                 1.7496,                 1.5419,                 0.4444,                0.93986,                0.85524,                0.93174,                0.72487,                  2.028,                 1.5265,                 0.4672,              0.0023145,              0.0023145,              0.0023145
                      9,                  1.714,                  1.439,                0.43775,                0.85895,                0.87065,                0.92102,                0.73118,                 1.8989,                 1.5109,                0.44375,              0.0022608,              0.0022608,              0.0022608
                     10,                 1.6661,                 1.3454,                0.43579,                 0.8971,                0.86747,                0.91873,                0.73224,                 1.9406,                 1.5396,                0.45774,              0.0022072,              0.0022072,              0.0022072
                     11,                 1.6121,                 1.2142,                 0.4218,                0.93638,                0.87562,                 0.9389,                0.74254,                 1.9685,                 1.3655,                0.46148,              0.0021535,              0.0021535,              0.0021535
                     12,                 1.6103,                 1.1813,                0.42846,                0.92638,                0.91045,                0.94914,                0.74212,                  1.941,                 1.2429,                0.45767,              0.0020999,              0.0020999,              0.0020999
                     13,                 1.6492,                  1.157,                0.42332,                0.90864,                0.89062,                0.94148,                0.74578,                 1.9101,                  1.404,                0.45137,              0.0020463,              0.0020463,              0.0020463
                     14,                 1.5257,                 1.0887,                0.40885,                0.90289,                0.89552,                0.93033,                0.74005,                  1.932,                 1.4958,                0.45547,              0.0019926,              0.0019926,              0.0019926
                     15,                 1.5544,                 1.1151,                0.41961,                0.87063,                 0.9005,                0.91129,                0.71986,                 1.9295,                 1.5222,                0.45388,               0.001939,               0.001939,               0.001939
                     16,                 1.5435,                 1.0789,                0.40569,                0.89688,                0.90865,                0.94432,                0.75202,                 1.8937,                 1.3632,                0.44984,              0.0018853,              0.0018853,              0.0018853
